person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default
58,48024,MORTGAGE,34,MEDICAL,B,20508,23.629579851933613,0.5591446545971562,Y,7,1
48,78656,OWN,32,EDUCATION,B,5438,11.764619346345697,0.49683011297118373,N,5,0
34,136148,RENT,19,HOMEIMPROVEMENT,C,22888,23.277525806435925,0.39147404195151647,N,25,0
62,47285,RENT,15,MEDICAL,D,9381,24.620897245089314,0.3183573656166282,N,14,0
27,112436,OWN,33,DEBTCONSOLIDATION,F,6103,18.236214571488496,0.7281594088884179,N,28,1
40,136421,OTHER,1,PERSONAL,C,23004,21.337805790083365,0.03300779014139318,N,14,0
58,21605,OWN,34,VENTURE,C,17266,19.990911284421706,0.6175951173707663,N,28,1
38,91158,RENT,39,DEBTCONSOLIDATION,A,28886,18.990685152310476,0.7225085616816221,N,12,1
42,92303,OWN,27,VENTURE,A,12195,11.138621459624652,0.36262011774964154,N,6,0
30,47139,OWN,38,HOMEIMPROVEMENT,C,18296,6.141886758158874,0.44504548826181095,Y,2,0
30,97149,MORTGAGE,5,EDUCATION,C,15059,11.861034650393012,0.75612631342681,N,10,0
43,76138,RENT,8,EDUCATION,E,33639,18.33871970407813,0.1776992370755564,N,18,0
55,138205,MORTGAGE,19,EDUCATION,B,9302,7.0505839645560275,0.42090652974990106,N,23,0
59,96125,OWN,0,VENTURE,A,8807,5.238359659564842,0.3850296904312882,N,2,0
43,33918,OTHER,7,DEBTCONSOLIDATION,C,33714,7.793847452058773,0.21413019181759238,N,4,0
22,105655,RENT,22,EDUCATION,B,34659,19.314718528215906,0.6566886519947553,N,16,1
41,47446,OWN,2,DEBTCONSOLIDATION,A,12016,24.45587403312888,0.7206844698629563,N,27,1
21,144040,MORTGAGE,3,VENTURE,D,29586,24.661293992296407,0.627726738032685,N,22,1
43,33046,RENT,24,HOMEIMPROVEMENT,A,30980,14.879582982803758,0.16433357907040064,N,27,0
63,149922,MORTGAGE,37,DEBTCONSOLIDATION,D,9765,22.38704601984695,0.07853142204609144,N,24,0
49,44818,MORTGAGE,14,HOMEIMPROVEMENT,B,5954,19.73652911503008,0.4883011433912205,N,11,1
57,120894,RENT,20,VENTURE,B,26681,15.020804739692068,0.05510486080280831,N,9,0
21,135751,RENT,34,VENTURE,C,15886,16.455210659101738,0.5415324519608866,N,13,1
40,24324,MORTGAGE,13,PERSONAL,E,24827,7.7445429323374215,0.4290351340585217,Y,26,1
52,96323,RENT,35,VENTURE,C,21681,23.753229212331842,0.5336007288674943,N,23,1
31,29111,OWN,11,VENTURE,D,21952,12.038595414635536,0.4762349111832978,Y,16,0
41,58110,RENT,16,MEDICAL,A,34251,13.92298512914339,0.3439350299264665,N,28,0
63,36389,OWN,38,EDUCATION,D,22491,18.433204619957976,0.16869297231078034,N,10,0
44,142177,RENT,8,PERSONAL,B,10416,11.678049430531079,0.25150468729028597,Y,25,0
68,61427,MORTGAGE,34,PERSONAL,D,10643,10.08518321977861,0.42435545363299143,N,26,0
46,99579,OTHER,12,PERSONAL,C,26355,17.620987865404413,0.5249757939816087,Y,11,1
61,48746,OTHER,14,MEDICAL,F,16081,5.499681645636989,0.6257915833387775,N,21,0
47,142883,MORTGAGE,17,HOMEIMPROVEMENT,C,2407,19.41450224053358,0.6160648675747581,N,10,1
35,107886,RENT,32,VENTURE,A,29924,15.280467397530195,0.7784241071762574,N,16,1
34,127141,MORTGAGE,5,EDUCATION,A,23808,17.115074610418688,0.23581474444409348,N,24,0
66,20117,RENT,26,DEBTCONSOLIDATION,E,27457,17.637603184937703,0.06617745948861506,Y,22,1
63,145808,RENT,22,HOMEIMPROVEMENT,C,25964,15.541003129851275,0.2830689790780688,N,22,0
22,132221,RENT,26,VENTURE,D,24149,16.650675548814718,0.5972026354270206,Y,2,1
56,104471,OWN,33,MEDICAL,B,27625,18.67576401779749,0.35610820431630325,N,3,0
26,132613,MORTGAGE,37,VENTURE,B,6096,20.062376943593485,0.6560528601656413,Y,27,1
40,33234,MORTGAGE,13,VENTURE,A,16874,19.54904782572241,0.4439678284969519,N,20,1
28,149597,OWN,35,MEDICAL,F,4275,22.392329154645235,0.7445354608780974,N,15,1
58,123864,RENT,7,PERSONAL,D,27888,8.788868663348055,0.7588121191792644,N,9,0
37,73441,OTHER,34,PERSONAL,F,21529,13.02295938983595,0.06475055975481149,N,7,0
23,20846,OWN,18,EDUCATION,B,18945,23.955921320289143,0.3705666173728152,N,13,0
44,30954,OWN,29,EDUCATION,D,15145,12.931811487726595,0.49165435838715876,Y,27,0
33,99239,RENT,13,PERSONAL,D,31605,7.497401538118453,0.21213930724164812,Y,28,0
69,133689,MORTGAGE,19,HOMEIMPROVEMENT,B,14168,15.508902527243592,0.3315906557093944,N,16,0
28,66514,MORTGAGE,24,DEBTCONSOLIDATION,E,16460,7.189819451089243,0.5453684174829817,N,15,0
45,108236,RENT,39,VENTURE,F,11857,9.057064774557304,0.18912003924970555,N,22,0
21,117579,RENT,23,DEBTCONSOLIDATION,E,16304,24.966375131419134,0.48556526884981743,Y,2,1
39,148644,MORTGAGE,13,VENTURE,D,15126,15.827252767922639,0.5609837842498018,N,29,1
47,26469,MORTGAGE,25,PERSONAL,B,28632,10.68116778080858,0.08149208576573473,N,12,0
66,50105,RENT,37,EDUCATION,B,8451,24.895499091478122,0.4030481596616877,N,29,1
26,62101,OTHER,22,HOMEIMPROVEMENT,F,6949,24.331178371102865,0.21783322364011073,N,26,0
63,84323,RENT,21,EDUCATION,A,19565,13.814780821685272,0.5822652212384553,Y,4,0
27,111922,OWN,18,DEBTCONSOLIDATION,D,9630,10.208062175758169,0.159748851744183,N,20,0
66,78067,MORTGAGE,2,EDUCATION,D,24324,21.7679927618438,0.7148679532751041,N,19,1
54,69376,OWN,18,PERSONAL,D,32375,19.312414339435716,0.3504436558494783,N,21,0
33,65587,OWN,8,HOMEIMPROVEMENT,G,6554,18.738828700070208,0.1664223939429673,Y,29,1
36,56976,RENT,27,DEBTCONSOLIDATION,B,34773,22.86227482644945,0.35603721911676023,N,3,0
55,124587,RENT,19,HOMEIMPROVEMENT,B,11332,18.788342677426492,0.33290757261873705,N,26,0
69,147534,OTHER,6,VENTURE,A,30170,10.675958860830983,0.34884597800003114,N,29,0
59,87584,OWN,13,EDUCATION,C,23352,18.877263237514647,0.4725934218629831,N,27,1
23,124537,MORTGAGE,8,HOMEIMPROVEMENT,B,24120,11.11627022567328,0.42172724268169465,Y,8,0
21,98477,RENT,18,MEDICAL,B,28807,20.1847795931399,0.12832393402791312,Y,9,0
25,130911,RENT,13,EDUCATION,E,2051,17.39495708983132,0.061807467390842696,N,20,0
61,62533,RENT,37,VENTURE,F,28312,6.548231039695011,0.586238204493967,Y,23,1
23,21828,MORTGAGE,35,HOMEIMPROVEMENT,B,14299,15.256707248702842,0.4521767743833677,N,16,1
48,21917,RENT,39,DEBTCONSOLIDATION,C,26812,11.866019383914818,0.29361060678261836,N,11,0
37,40618,MORTGAGE,16,VENTURE,F,1949,11.571412654645885,0.6486026797734784,N,23,0
45,52254,OWN,29,MEDICAL,A,24926,17.045126047545146,0.31656619466615604,N,2,0
63,125292,OTHER,8,HOMEIMPROVEMENT,A,32051,11.446496489388498,0.63881242078448,N,7,0
53,136714,RENT,32,PERSONAL,B,24777,20.537874964097455,0.251547340734776,N,14,0
29,67362,MORTGAGE,24,EDUCATION,C,10137,6.415828720223489,0.0675477850607078,Y,15,0
55,40128,MORTGAGE,13,DEBTCONSOLIDATION,B,10324,18.20776504791651,0.746785358101944,N,4,1
33,143781,MORTGAGE,10,PERSONAL,F,27450,21.183896073134825,0.3216953921322848,N,12,0
50,131281,MORTGAGE,34,HOMEIMPROVEMENT,C,23988,18.456633798408603,0.6362271325510086,N,4,1
67,79383,MORTGAGE,13,HOMEIMPROVEMENT,C,715,14.944583900399914,0.23052386524562055,N,20,0
34,85545,OWN,29,VENTURE,B,12023,24.006140274723624,0.5206284385776883,Y,11,1
27,102180,RENT,3,HOMEIMPROVEMENT,C,10864,10.998769795961271,0.6999155898736054,N,28,0
33,107958,RENT,3,DEBTCONSOLIDATION,D,3653,5.383357750499556,0.04289877764858446,N,16,0
42,29865,MORTGAGE,27,PERSONAL,D,24334,13.639787429268818,0.6662022541020105,N,12,0
59,22219,OWN,7,DEBTCONSOLIDATION,D,34974,5.6602387180065445,0.46135307392782365,N,16,0
40,59809,MORTGAGE,1,MEDICAL,C,34835,24.078735050528174,0.4899026855877697,N,27,1
35,136748,OWN,21,MEDICAL,F,10900,9.19836091496103,0.4232948206367263,N,28,0
64,25287,RENT,15,EDUCATION,E,10845,20.77854047897759,0.7008353315940775,N,25,1
37,146593,RENT,28,EDUCATION,D,34396,20.491441663487297,0.044312352216153594,N,14,0
66,54387,MORTGAGE,29,MEDICAL,A,20394,9.35457799365867,0.21621242931332002,N,6,0
43,28512,OWN,11,HOMEIMPROVEMENT,A,29399,17.424530609603345,0.7018524056987328,Y,5,1
45,21342,RENT,34,DEBTCONSOLIDATION,B,28729,5.961579369729004,0.6043531050002453,N,14,0
44,83076,OWN,10,MEDICAL,D,6083,14.67149171407735,0.023939676541098617,N,10,0
64,128872,RENT,20,EDUCATION,C,5397,5.292942545449735,0.41843496373566985,N,26,0
60,39216,OWN,20,MEDICAL,C,6501,23.422877603616836,0.42836241776301315,N,18,1
48,137512,RENT,4,HOMEIMPROVEMENT,E,5067,24.521720483991434,0.32669688675104924,N,3,0
34,136682,MORTGAGE,19,MEDICAL,E,9771,9.445655332771706,0.24494073232897187,Y,25,0
64,113070,RENT,36,DEBTCONSOLIDATION,F,12203,9.162120691927456,0.5485626318257503,N,6,0
20,99767,OWN,2,PERSONAL,B,13829,20.074403531242595,0.17415446711675553,N,17,0
44,117829,RENT,32,HOMEIMPROVEMENT,D,6756,10.06758797658669,0.6411693640366478,N,8,0
26,46614,RENT,8,EDUCATION,B,728,22.9015311832369,0.6443993570063028,N,2,1
28,56258,RENT,8,DEBTCONSOLIDATION,B,25246,16.478582722459645,0.33805653568252825,Y,29,0
43,113789,OWN,3,MEDICAL,B,17178,12.015552460206242,0.23400292861862165,N,27,0
20,62078,OWN,34,MEDICAL,B,23685,21.6538749269884,0.23426376345666344,N,13,0
63,126288,RENT,16,PERSONAL,C,34186,14.868134008267903,0.391010145957006,Y,22,0
27,103524,MORTGAGE,33,EDUCATION,E,11945,23.23265827416951,0.5784675875519935,N,12,1
43,116573,MORTGAGE,23,EDUCATION,A,33766,23.56028473458762,0.29350626588514844,N,13,0
30,32219,MORTGAGE,31,VENTURE,D,3309,8.308403042568187,0.49193424291162374,N,20,0
36,20235,RENT,0,EDUCATION,C,6891,5.046468122638606,0.31216272386024957,N,27,0
27,62929,OWN,7,PERSONAL,B,645,24.678618802848046,0.2505733194295928,N,13,0
54,147309,RENT,22,VENTURE,C,14429,23.122750722549586,0.029639017573477387,Y,13,0
54,87444,RENT,39,VENTURE,B,24826,6.108904714076829,0.013092143530958604,Y,15,0
52,28567,OTHER,11,MEDICAL,C,30491,21.660685278821397,0.18949406548728354,N,3,0
24,121834,RENT,11,MEDICAL,C,17076,14.156098651184132,0.33106096657278644,N,3,0
61,90792,OWN,14,EDUCATION,B,28964,10.179232100499505,0.6824963222160276,N,26,0
58,85441,OWN,18,VENTURE,A,8743,22.574930473538597,0.6408025519150361,N,5,1
60,104555,MORTGAGE,25,MEDICAL,C,32101,8.933344647806145,0.22106055744451203,Y,21,0
47,93698,OWN,28,PERSONAL,F,2910,23.94599998840134,0.20318694995759648,N,24,0
26,144450,RENT,21,MEDICAL,B,2320,9.112429753986822,0.1895844361453217,Y,27,0
28,137248,RENT,39,HOMEIMPROVEMENT,D,7965,17.27366375457487,0.27799749901780496,Y,17,0
27,25415,OWN,20,HOMEIMPROVEMENT,D,32939,9.461726690579496,0.40357698845373147,N,11,0
31,56159,RENT,37,MEDICAL,F,27814,15.913373299372696,0.35654753990494464,N,14,0
53,63925,RENT,19,VENTURE,E,20083,18.679502598302825,0.1824358270373801,N,3,0
52,146523,RENT,28,VENTURE,C,27655,8.804558616402751,0.11305661385545825,N,4,0
67,25951,RENT,3,DEBTCONSOLIDATION,D,12697,15.417715654013584,0.019936471864094356,Y,20,0
42,107388,RENT,6,HOMEIMPROVEMENT,E,30011,14.38119488780238,0.13163095854653806,Y,7,0
43,28007,RENT,27,PERSONAL,C,15924,6.420748428066824,0.5672315324533534,N,20,0
56,146730,OWN,27,VENTURE,B,740,21.366156353506057,0.20247446978301054,Y,28,0
54,61832,MORTGAGE,3,EDUCATION,A,5131,11.713648012856835,0.38019542999599276,N,22,0
63,78596,MORTGAGE,21,HOMEIMPROVEMENT,E,10099,16.49164395103759,0.47712790764936336,Y,21,1
59,141101,RENT,11,PERSONAL,E,25158,15.295684698662688,0.7106043132369696,N,20,1
41,50523,RENT,2,PERSONAL,A,33074,15.265210091408845,0.7121955277308014,Y,9,1
46,108861,RENT,21,VENTURE,C,8495,7.1444478841697485,0.5991296496082736,Y,15,0
54,144194,OWN,1,PERSONAL,C,25686,13.469640184986655,0.037774023718316126,N,11,0
20,106740,MORTGAGE,23,VENTURE,A,29745,14.047335184131404,0.4643056310774778,N,4,0
54,35524,RENT,33,MEDICAL,G,23313,19.67285680728897,0.6314009419568901,Y,7,1
56,149028,MORTGAGE,26,HOMEIMPROVEMENT,B,13776,21.80037663841397,0.023657555363056935,N,16,0
66,39282,RENT,0,DEBTCONSOLIDATION,A,20489,15.899645562000359,0.44425084478869686,N,24,1
33,43930,OWN,7,MEDICAL,C,13246,6.73565908129981,0.6876336751709633,N,24,0
22,20077,MORTGAGE,22,HOMEIMPROVEMENT,D,19057,9.736989411930924,0.3845406399153909,N,19,0
20,125881,MORTGAGE,37,VENTURE,A,28560,8.298680537054622,0.013243900288984277,Y,15,0
24,145501,MORTGAGE,5,HOMEIMPROVEMENT,D,7068,7.492301263782495,0.01870055308512989,N,20,0
45,40611,MORTGAGE,21,VENTURE,C,19541,12.317985972356151,0.33914246955686295,N,29,0
33,36984,RENT,24,MEDICAL,A,6580,9.58787004308764,0.13245684725923612,N,27,0
58,34060,MORTGAGE,17,EDUCATION,B,14354,9.366062236230245,0.5349160191036751,N,11,0
46,102985,RENT,16,EDUCATION,C,2659,6.093863491525353,0.5699514192758617,N,16,0
28,104056,MORTGAGE,11,HOMEIMPROVEMENT,B,27525,5.353400895908678,0.1505250384138966,N,5,0
34,145329,OWN,5,EDUCATION,F,4868,7.055364852995636,0.7119412979343431,N,24,0
34,63303,MORTGAGE,25,VENTURE,E,34585,8.44394958847266,0.35910719753335146,N,3,0
45,79207,OWN,26,PERSONAL,G,27594,13.619674576964062,0.12284826699761975,Y,4,0
61,95046,OWN,7,VENTURE,B,1730,15.210405225976892,0.6137587624748224,N,8,1
32,49287,OWN,18,PERSONAL,F,18017,7.811838363467311,0.6340798550132506,Y,24,1
51,113709,MORTGAGE,0,MEDICAL,C,24491,13.495666830483726,0.5150434234057114,N,17,0
58,59711,RENT,28,DEBTCONSOLIDATION,B,1801,11.834976846518545,0.684237787030017,N,11,0
68,31954,RENT,34,PERSONAL,A,29110,8.668472869959121,0.5925246479042304,N,20,0
51,93340,RENT,39,EDUCATION,A,16427,5.1368149629672715,0.7069425324093226,N,29,0
23,92101,RENT,13,VENTURE,D,24966,14.340357330434834,0.3527715583035288,Y,18,0
49,91520,MORTGAGE,34,MEDICAL,C,15404,18.713034985303985,0.6006017311985595,Y,29,1
56,107062,RENT,19,EDUCATION,B,26581,9.52554668287614,0.7998037351089451,N,20,0
42,122974,OTHER,12,MEDICAL,D,24854,7.636136597933588,0.5826956460404992,Y,6,0
58,38574,RENT,37,DEBTCONSOLIDATION,B,28261,22.740854888939236,0.1002051863873344,N,24,0
64,29184,RENT,7,VENTURE,C,18800,10.500495449755956,0.4194717907190546,N,21,0
34,39096,MORTGAGE,19,HOMEIMPROVEMENT,C,29991,9.472252395853296,0.4740047550819921,N,14,0
62,87728,MORTGAGE,32,VENTURE,E,27032,22.141938792198317,0.1476264333063989,N,14,0
48,54016,OWN,25,DEBTCONSOLIDATION,E,6964,21.342141983335225,0.7706843910006498,N,12,1
55,31246,OWN,38,VENTURE,C,17062,13.966929410492671,0.1487080243313469,N,12,0
32,65558,MORTGAGE,20,HOMEIMPROVEMENT,C,9183,14.784777228555491,0.150270756573446,N,17,0
51,138721,RENT,8,PERSONAL,C,33134,9.35497409668044,0.7329820389998984,N,16,0
